Nom,Statut,Vélos,Bornes,Arrondissement,Latitude,Longitude
"Nom inconnu",N/A,0,0,Montrouge,48,811116,2,314574
"Nom inconnu",N/A,0,0,Paris,48,826702,2,338498
"Nom inconnu",N/A,0,0,Paris,48,886062,2,291700
"Nom inconnu",N/A,0,0,Paris,48,821092,2,333726
"Nom inconnu",N/A,0,0,Paris,48,836591,2,293056
"Nom inconnu",N/A,0,0,Boulogne-Billancourt,48,841547,2,233162
"Nom inconnu",N/A,0,0,Vitry-sur-Seine,48,781384,2,372351
"Nom inconnu",N/A,0,0,Boulogne-Billancourt,48,827540,2,241605
"Nom inconnu",N/A,0,0,Paris,48,844425,2,294059
"Nom inconnu",N/A,0,0,Pantin,48,883546,2,413788
"Nom inconnu",N/A,0,0,Rueil-Malmaison,48,892663,2,172411
"Nom inconnu",N/A,0,0,Paris,48,864311,2,410521
"Nom inconnu",N/A,0,0,Montreuil,48,854898,2,418669
"Nom inconnu",N/A,0,0,Paris,48,875066,2,331674
"Nom inconnu",N/A,0,0,Paris,48,861125,2,381299
"Nom inconnu",N/A,0,0,Paris,48,877951,2,381464
